W0,R1,C1,f,Z_mod
1.6311729219244695,17.782794320955873,9.999999843258412e-05,7498.942408079518,0.21995057
11.547820194963515,31.62277700379491,0.00031622775934264067,3.16227774209067,34.123123
18.836490955681114,56.23413298279047,0.001000000000268221,42.16964980950876,5.112537
2.66072512233554,177.82794773578644,3.1622777133714405e-05,0.0177827938781185,185.96307
4.340102647223681,10.0,3.1622776614822213e-06,0.00133352146151772,74.46163
50.11872336272722,1000.0,1e-06,0.0001,3604.786
30.725573623336086,100.00000268220901,0.01,100000.0,0.05493089
7.0794579879996515,562.3413103818893,0.0031622775162458423,562.3413312904286,0.24021159
1.0,316.2277764081955,1.0000000227882994e-05,0.23713737473567764,317.0484
37.680767912973664,53.08199692517519,0.009169795095443726,99215.60287554025,0.06761621
3.6771441912875797,718.1886833906174,0.009258052999079228,98600.68559786538,0.0067312825
48.204195209653136,955.9161514043808,0.007790384739041329,0.3144959017091384,106.246315
46.74731697179093,33.58963316306472,0.009720304566502571,87597.0363740973,0.08924445
2.714296800130701,89.209174066782,0.009996316801309586,90138.34000619955,0.005227065
48.04595280532602,932.0081096887589,0.00023190154366195203,74152.9941817308,0.10629073
32.275060995956395,138.74311581254005,0.009095772337555886,99483.25157217203,0.05785658
