R0,R1,C1,f,Z_mod
46.41588777303696,21.544347209855914,4.6415887398470665e-06,3162.2775867383116,51.502056
21.544347209855914,1000.0,0.0021544347101897007,100000.0,21.544348
1000.0,464.1588804125786,9.999999843258412e-05,99.99999987595558,1000.6714
100.00000268220901,100.00000268220901,0.000464158882893622,0.0001,200.0
464.1588804125786,215.44346556067467,2.1544346279464666e-05,0.10000000070516434,679.6008
215.44346556067467,10.0,0.01,3.16227774209067,217.50163
10.0,46.41588777303696,1e-06,0.0031622775395913683,56.41589
687.002580165863,10.453944560722448,0.009889172670602799,98050.52280620973,687.00256
81.77285149693489,799.6851634979248,0.009224857127904893,93583.58979866799,81.77285
931.9652104377747,916.0931366682053,0.00774745223081112,0.09032533040551588,1008.1738
708.0737835168839,25.32468419522047,0.009811150245010853,97341.9129875061,708.0737
28.738532606512308,10.0443079480101,0.009934819302916526,87397.58135148487,28.738533
